S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Down %
29.,Bajaj Holdings,10442.30,15.70,116274.84,1.25,1510.43,-3.67,279.07,24.18,13.07,8.00
30.,Banco Products,1130.95,23.48,8075.03,1.77,138.70,109.80,894.93,23.51,26.96,0.00
31.,Bhartiya Intl.,823.40,2337.11,958.22,0.00,7.67,37.46,295.91,29.98,6.61,0.44
32.,BITS,28.53,131.89,319.18,0.00,0.02,100.00,0.27,28.57,12.66,0.00
33.,Blue Pebble,351.05,31.14,143.23,0.00,3.77,,23.39,77.47,97.57,8.82
34.,BSE,4719.95,77.62,63896.96,0.32,345.77,192.01,813.30,124.66,19.97,5.41
35.,C D S L,1540.25,60.42,32191.23,0.62,161.96,48.79,322.26,55.45,40.18,8.26
36.,Captain Techno.,410.00,81.92,418.61,0.00,2.94,,36.73,24.34,19.44,0.00
37.,Cartrade Tech,1278.60,65.07,6043.68,0.00,30.73,100.87,154.21,28.50,4.20,4.33
38.,Ceinsys Tech,1410.00,50.60,2303.86,0.18,11.65,150.00,90.04,54.52,22.44,2.76
39.,Chandrima Mercan,58.02,40.78,128.87,0.00,0.68,666.67,8.09,300.50,6.19,9.34
40.,Choice Intl.,537.00,69.84,10710.75,0.00,46.45,56.39,247.39,29.56,24.97,0.62
41.,CIAN Agro,336.50,224.75,941.72,0.00,-0.03,-105.88,125.01,452.41,11.00,0.00
42.,City Pulse Multi,989.55,1076.80,1055.26,0.00,0.49,933.33,1.00,4900.00,0.28,0.01
43.,Cochin Minerals,382.40,18.52,299.42,2.09,7.06,122.71,89.73,77.02,26.61,7.83
44.,Coforge,8311.00,70.34,55452.95,0.91,233.60,11.71,3062.30,34.54,28.60,0.40
45.,Deep Industries,505.25,23.36,3229.65,0.48,41.55,30.82,130.62,28.92,10.26,5.56
46.,Destiny Logistic,156.00,72.96,240.05,0.00,1.50,,19.28,137.73,11.10,8.67
47.,Dev Information,160.20,20.67,361.38,0.16,8.11,394.51,35.94,28.59,22.85,9.98
48.,Divi's Lab.,5990.35,86.63,159062.23,0.50,510.00,46.55,2338.00,22.47,16.48,4.55
49.,Dixon Technolog.,15345.75,163.77,91813.64,0.03,411.70,119.30,11534.08,133.33,29.16,4.09
